"hora","valorDemanda","valorGeneracion","valorEnlace","valorPronostico"
"24","2618","1769",,"2776"
"1","2562","1666",,"2713"
"2","2490","1432",,"2595"
"3","2386","1424",,"2469"
"4","2297","1274",,"2362"
"5","2198","1215",,"2251"
"6","2069","1130",,"2115"
"7","1977","1272",,"2033"
"8","1965","1285",,"2008"
"9","1991","1302",,"2025"
"10","2045","1317",,"2040"
"11","2032","1272",,"2052"
"12","1992","1369",,"2075"
"13","2016","1344",,"2082"
"14"," "," ",,"2107"
"15"," "," ",,"2148"
"16"," "," ",,"2207"
"17"," "," ",,"2255"
"18"," "," ",,"2255"
"19"," "," ",,"2370"
"20"," "," ",,"2396"
"21"," "," ",,"2370"
"22"," "," ",,"2346"
"23"," "," ",,"2324"
"24"," "," ",,"2276"
